Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974],1973 [YR1973],1972 [YR1972],1971 [YR1971],1970 [YR1970],1969 [YR1969],1968 [YR1968],1967 [YR1967]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,..,32526562,31627506,30682500,29726803,28809167,27962207,27207291,26528741,25877544,25183615,24399948,23499850,22507368,21487079,20531160,19701940,19038420,18511480,18034130,17481800,16772522,15869967,14824371,13745630,12789374,12067570,11608351,11375768,11337932,11438949,11630498,11912510,12279095,12667001,12996923,13211412,13283279,13222547,13056499,12831361,12582954,12315553,12022514,11716896,11412821,11121097,10849510,10599790,10368600
"Population, total",SP.POP.TOTL,Albania,ALB,..,2889167,2893654,2896652,2900247,2904780,2913021,2927519,2947314,2970017,2992547,3011487,3026939,3039616,3051010,3060173,3089027,3108778,3128530,3148281,3168033,3187784,3207536,3227287,3247039,3266790,3286542,3227943,3142336,3083605,3022635,2964762,2904429,2843960,2784278,2726056,2671997,2617832,2566266,2513546,2458526,2404831,2350124,2296752,2243126,2187853,2135479,2081695,2022272,1965598
"Population, total",SP.POP.TOTL,Algeria,DZA,..,39666519,38934334,38186135,37439427,36717132,36036159,35401790,34811059,34261971,33749328,33267887,32817225,32394886,31990387,31590320,31183658,30766551,30336880,29887717,29411839,28904300,28362015,27785977,27180921,26554277,25912364,25257671,24591493,23917889,23241276,22565908,21893857,21228288,20575701,19943667,19337723,18760761,18212331,17690184,17190236,16709098,16247113,15804428,15377095,14960111,14550033,14144437,13744383,13354197
"Population, total",SP.POP.TOTL,American Samoa,ASM,..,55538,55434,55302,55227,55316,55636,56226,57031,57904,58648,59117,59262,59117,58729,58176,57522,56768,55899,54942,53926,52874,51807,50725,49597,48379,47044,45591,44049,42448,40835,39247,37687,36165,34740,33488,32456,31670,31105,30690,30325,29932,29491,29014,28490,27916,27292,26615,25886,25116
"Population, total",SP.POP.TOTL,Andorra,ADO,..,70473,72786,75902,79316,82326,84419,85474,85616,84878,83373,81223,78337,74783,71046,67770,65399,64161,63888,64147,64291,63854,62707,61003,58904,56674,54511,52449,50431,48458,46515,44597,42704,40862,39112,37502,36063,34819,33746,32769,31781,30706,29514,28231,26892,25560,24279,23061,21888,20755
"Population, total",SP.POP.TOTL,Angola,AGO,..,25021974,24227524,23448202,22685632,21942296,21219954,20520103,19842251,19183907,18541467,17912942,17295500,16691395,16109696,15562791,15058638,14601983,14187710,13801868,13424813,13042666,12648483,12246786,11848971,11472173,11127870,10820992,10544904,10285712,10023700,9745209,9444918,9128655,8807511,8497950,8211950,7952882,7717139,7501320,7299508,7107334,6923749,6750215,6587647,6437645,6300969,6177703,6066094,5962831
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,..,91818,90900,89985,89069,88152,87233,86300,85350,84397,83467,82565,81718,80904,80030,78972,77648,76041,74206,72232,70245,68349,66550,64868,63434,62412,61906,61967,62538,63484,64605,65744,66863,67958,68950,69750,70301,70553,70508,70223,69782,69253,68655,67972,67205,66338,65369,64307,63176,62002
"Population, total",SP.POP.TOTL,Argentina,ARG,..,43416755,42980026,42538304,42095224,41655616,41222875,40798641,40381860,39969903,39558750,39145491,38728778,38309475,37889443,37471535,37057453,36648054,36241578,35833965,35419683,34994818,34558114,34110912,33655149,33193920,32729740,32263559,31795515,31326473,30857242,30388781,29920907,29454739,28993989,28543366,28105889,27684530,27277742,26878567,26477153,26066975,25644505,25213388,24782950,24366442,23973062,23605992,23261273,22932201
"Population, total",SP.POP.TOTL,Armenia,ARM,..,3017712,3006154,2992192,2978339,2967984,2963496,2966108,2975029,2988117,3002161,3014917,3025982,3036420,3047249,3060036,3076098,3093820,3112958,3137652,3173425,3223173,3289943,3369673,3449497,3511912,3544695,3542720,3510439,3457054,3396511,3339147,3287588,3239212,3192877,3145885,3096298,3044564,2991954,2938181,2882831,2825650,2766495,2705584,2643464,2580894,2518408,2456370,2394635,2332624
"Population, total",SP.POP.TOTL,Aruba,ABW,..,103889,103441,102921,102393,101936,101597,101416,101342,101218,100830,100031,98742,97015,94995,92894,90858,89004,87276,85447,83195,80326,76700,72498,68235,64623,62148,61032,61077,61835,62644,63028,62831,62204,61344,60567,60096,59978,60106,60366,60589,60655,60525,60239,59849,59438,59065,58724,58385,58049
"Population, total",SP.POP.TOTL,Australia,AUS,..,23781169,23464086,23117353,22728254,22340024,22031750,21691700,21249200,20827600,20697900,20394800,20127400,19895400,19651400,19413000,19153000,18926000,18711000,18517000,18311000,18072000,17855000,17667000,17495000,17284000,17065100,16814400,16532200,16263900,16018400,15758000,15544000,15369000,15178000,14927000,14692000,14514000,14358000,14192000,14033000,13893000,13723000,13380000,13177000,12937000,12507000,12263000,12009000,11799000
"Population, total",SP.POP.TOTL,Austria,AUT,..,8611088,8541575,8479375,8429991,8391643,8363404,8343323,8321496,8295487,8268641,8227829,8171966,8121423,8081957,8042293,8011566,7992324,7976789,7968041,7959017,7948278,7936118,7905633,7840709,7754891,7677850,7619567,7585317,7574586,7569794,7564985,7561434,7561910,7574140,7568710,7549433,7549425,7562305,7568430,7565525,7578903,7599038,7586115,7544201,7500482,7467086,7441055,7415403,7376998
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,..,9651349,9535079,9416801,9295784,9173082,9054332,8947243,8763400,8581300,8484550,8391850,8306500,8234100,8171950,8111200,8048600,7982750,7913000,7838250,7763000,7685000,7597000,7495000,7382000,7271000,7159000,7104058,6994139,6886428,6779970,6674107,6568857,6464775,6362289,6261942,6163990,6068531,5975045,5882395,5789050,5693796,5596160,5496061,5393176,5287272,5178160,5066080,4950977,4832098
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,..,388019,383054,377841,372388,366711,360830,354780,348587,342259,335801,329243,322539,315757,309170,303138,297891,293572,290054,286968,283792,280151,275903,271165,266133,261117,256338,251855,247576,243391,239132,234684,230016,225185,220275,215404,210660,206038,201511,197118,192905,188882,185097,181489,177844,173867,169356,164250,158629,152607
"Population, total",SP.POP.TOTL,Bahrain,BHR,..,1377237,1361930,1349427,1333577,1306014,1261319,1196774,1115777,1026568,940808,867014,807989,761595,725365,694893,666855,640904,618054,597834,579855,563730,549151,535692,522748,509654,495944,481126,465235,448994,433487,419425,407223,396447,385950,374125,359902,342829,323511,303236,283843,266686,252139,239860,229588,220808,213102,206469,200953,196203
"Population, total",SP.POP.TOTL,Bangladesh,BGD,..,160995642,159077513,157157394,155257387,153405612,151616777,149905836,148252473,146592687,144839238,142929979,140843786,138600174,136228456,133776064,131280739,128746273,126169583,123574107,120987124,118427768,115913710,113442354,110987459,108509679,105983136,103400571,100779551,98149262,95550798,93015182,90559540,88181211,85868228,83599582,81364176,79141947,76948378,74848466,72930206,71247153,69837960,68658472,67578486,66417450,65048701,63422570,61585520,59625294
"Population, total",SP.POP.TOTL,Barbados,BRB,..,284215,283380,282503,281580,280602,279566,278466,277315,276154,275040,274013,273091,272261,271479,270686,269838,268920,267949,266944,265940,264962,264015,263091,262184,261281,260374,259454,258524,257609,256738,255929,255195,254515,253836,253080,252197,251176,250035,248785,247444,246033,244539,242980,241441,240038,238847,237911,237199,236620
"Population, total",SP.POP.TOTL,Belarus,BLR,..,9513000,9483000,9466000,9464000,9473000,9490000,9507000,9528000,9560000,9604000,9663000,9730000,9797000,9865000,9928000,10005000,10035000,10069000,10117000,10160000,10194000,10227000,10239000,10216000,10194000,10189000,10170000,10140000,10111000,10043000,9975000,9910000,9843000,9776000,9710000,9643000,9584000,9525000,9463000,9411000,9367000,9317584,9257272,9188968,9115576,9040000,8960304,8874552,8785648
"Population, total",SP.POP.TOTL,Belgium,BEL,..,11285721,11231213,11182817,11128246,11047744,10895586,10796493,10709973,10625700,10547958,10478617,10421137,10376133,10332785,10286570,10251250,10226419,10203008,10181245,10156637,10136811,10115603,10084475,10045158,10004486,9967379,9937697,9901664,9870234,9861823,9858308,9855372,9855520,9856303,9858982,9859242,9848382,9839534,9830358,9818227,9800700,9772419,9741720,9711115,9673162,9655549,9646032,9618756,9580991
"Population, total",SP.POP.TOTL,Belize,BLZ,..,359287,351706,344193,336707,329193,321609,313925,306165,298403,290751,283279,276085,269132,262202,254989,247312,239024,230289,221608,213674,206962,201678,197615,194321,191127,187552,183470,179025,174326,169570,164916,160342,155820,151498,147566,144151,141308,138972,136991,135145,133261,131306,129294,127148,124792,122179,119260,116061,112699
"Population, total",SP.POP.TOTL,Benin,BEN,..,10879829,10598482,10322232,10049792,9779391,9509798,9240982,8973525,8707637,8443717,8182362,7922796,7665681,7414744,7174911,6949366,6740491,6546493,6361301,6176318,5985658,5786794,5582420,5378226,5182525,5001271,4836240,4685375,4546136,4414450,4287263,4163968,4045352,3931355,3822206,3718024,3618509,3523270,3432262,3345501,3262959,3184547,3110074,3039300,2971941,2907769,2846652,2788551,2733450
"Population, total",SP.POP.TOTL,Bermuda,BMU,..,65235,65139,65001,64798,64564,65124,65636,65273,64888,64523,64154,63740,63325,62912,62504,61833,61285,60943,60497,60129,59746,59320,58910,58595,59021,59326,58841,58347,57849,57382,56898,56423,55930,55449,55050,54670,53800,53600,53400,53200,53000,53400,53800,54200,54600,55000,54000,53000,52000
"Population, total",SP.POP.TOTL,Bhutan,BTN,..,774830,765008,754637,743711,732246,720246,707830,694990,681471,666920,651163,634235,616474,598421,580784,564187,548387,533506,520917,512377,508897,511382,518847,528085,534678,535505,529284,517068,500952,484151,469010,456135,444789,434385,423887,412561,400378,387731,374801,361862,349146,336677,324465,312712,301653,291457,282210,273868,266293
"Population, total",SP.POP.TOTL,Bolivia,BOL,..,10724705,10561887,10399931,10238762,10078238,9918245,9758799,9599916,9441482,9283345,9125405,8967740,8810420,8653343,8496378,8339512,8182710,8026257,7870860,7717445,7566716,7418864,7273824,7131699,6992521,6856246,6723046,6592787,6464736,6337893,6211549,6085499,5959962,5835186,5711598,5589572,5469123,5350320,5233677,5119833,5009259,4902173,4798510,4698090,4600596,4505774,4413584,4324066,4237126
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,..,3810416,3817554,3823533,3828419,3832310,3835258,3837732,3839749,3840418,3838504,3833377,3825872,3817313,3808347,3799747,3792878,3784389,3775898,3779354,3810649,3879278,3992256,4141167,4301169,4437898,4526996,4559256,4542757,4491745,4428460,4369527,4318301,4270598,4226663,4185074,4144726,4107135,4073480,4041623,4008411,3971608,3930283,3885229,3838002,3790948,3745637,3702834,3661642,3619997
"Population, total",SP.POP.TOTL,Botswana,BWA,..,2262485,2219937,2176510,2132822,2089706,2047831,2007212,1967866,1930431,1895671,1864003,1835750,1810438,1786672,1762531,1736579,1708368,1678111,1645846,1611827,1576291,1539135,1500356,1460453,1420098,1379814,1339813,1300097,1260720,1221668,1182942,1144716,1107103,1069962,1033073,996331,959666,923305,887793,853860,822029,792513,765177,739754,715811,693021,671305,650730,631276
"Population, total",SP.POP.TOTL,Brazil,BRA,..,207847528,206077898,204259377,202401584,200517584,198614208,196701298,194769696,192784521,190698241,188479240,186116363,183627339,181045592,178419396,175786441,173153066,170516482,167893835,165303155,162755054,160260508,157812220,155379009,152916852,150393143,147801816,145150468,142437479,139664639,136836428,133950551,131014337,128054757,125107382,122199721,119341444,116532153,113776467,111076063,108431284,105846274,103320787,100844391,98402200,95982453,93585746,91213009,88853679
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,..,30117,29585,29058,28511,27906,27223,26450,25604,24735,23908,23169,22538,22000,21530,21087,20643,20186,19726,19270,18834,18425,18051,17700,17343,16937,16459,15896,15265,14595,13932,13308,12729,12192,11715,11316,11003,10788,10663,10596,10544,10476,10380,10263,10125,9969,9802,9620,9422,9214
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,..,423188,417394,411499,405512,399443,393302,387080,380786,374459,368150,361889,355700,349557,343383,337074,330554,323812,316873,309746,302449,295010,287423,279717,271989,264365,256939,249738,242750,235980,229418,223049,216893,210933,205061,199136,193057,186786,180357,173826,167283,160799,154395,148067,141836,135716,129729,123875,118176,112680
"Population, total",SP.POP.TOTL,Bulgaria,BGR,..,7177991,7223938,7265115,7305888,7348328,7395599,7444443,7492561,7545338,7699020,7739900,7781161,7823557,7868468,8020282,8170172,8210624,8256786,8312068,8362826,8406067,8443591,8472313,8540164,8632367,8718289,8876972,8981446,8971359,8958171,8960547,8960679,8939738,8917457,8891117,8861535,8825940,8814032,8804183,8758599,8720742,8678745,8620967,8576200,8536395,8489574,8434172,8369603,8310226
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,..,18105570,17589198,17084554,16590813,16106851,15632066,15165856,14709011,14264002,13834195,13421929,13028039,12651596,12290984,11943740,11607944,11283016,10969093,10665781,10372809,10089876,9816586,9552473,9297116,9050090,8811033,8579825,8356306,8140076,7930690,7727912,7531244,7340907,7158256,6985158,6822840,6671659,6530820,6398937,6274037,6154548,6040044,5930487,5825171,5723379,5624597,5528172,5434040,5343020
"Population, total",SP.POP.TOTL,Burundi,BDI,..,11178921,10816860,10465959,10124572,9790151,9461117,9137786,8821795,8514578,8218070,7934213,7661613,7401215,7159918,6946720,6767073,6623707,6511920,6420397,6333415,6239030,6134041,6019901,5895131,5759429,5613141,5454475,5284173,5108581,4936429,4774258,4624617,4486613,4359122,4239673,4126544,4018927,3917866,3825484,3744696,3676991,3623853,3582952,3547335,3507593,3457113,3392949,3317315,3235125
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,..,520502,513906,507258,500870,495159,490379,486673,483824,481278,478265,474224,468985,462675,455396,447357,438737,429576,419884,409805,399508,389156,378763,368423,358473,349326,341256,334473,328861,323972,319161,313976,308251,302174,296071,290428,285599,281555,278152,275479,273625,272575,272509,273211,273788,273053,270197,264885,257478,248733
"Population, total",SP.POP.TOTL,Cambodia,KHM,..,15577899,15328136,15078564,14832255,14593099,14363586,14144337,13933660,13728700,13525360,13320058,13112334,12901217,12681984,12448881,12197905,11928306,11641509,11338733,11022162,10694459,10355253,10007092,9659238,9323607,9008856,8723550,8467109,8228268,7990133,7743065,7475011,7196139,6945053,6774509,6718241,6795102,6982522,7222050,7431505,7551988,7561583,7478147,7331162,7167716,7022185,6902025,6795514,6695460
"Population, total",SP.POP.TOTL,Cameroon,CMR,..,23344179,22773014,22211166,21659488,21119065,20590666,20074522,19570418,19078100,18597109,18126999,17667576,17218591,16779434,16349364,15927713,15514249,15108630,14709961,14317191,13929575,13546823,13169100,12796739,12430311,12070359,11716975,11370394,11031515,10701458,10381098,10070779,9770555,9480638,9201146,8932121,8673666,8425707,8187840,7959500,7740196,7529704,7327874,7134374,6948847,6770967,6600479,6437157,6280743
"Population, total",SP.POP.TOTL,Canada,CAN,..,35851774,35543658,35155499,34751476,34342780,34005274,33628571,33245773,32887928,32570505,32312000,31995000,31676000,31362000,31081900,30769700,30499200,30247900,29987200,29671900,29354000,29111906,28833410,28519597,28171682,27791000,27379000,26895000,26550000,26204000,25942000,25702000,25456000,25202000,24900000,24593000,24277000,24036000,23796000,23518000,23209000,22774087,22369408,21993631,21645535,21324000,21028000,20744000,20412000
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,..,59967,59172,58369,57522,56580,55509,54285,52925,51480,50028,48623,47299,46032,44742,43317,41685,39810,37742,35596,33535,31672,30055,28652,27402,26211,25009,23776,22539,21343,20254,19315,18543,17911,17357,16795,16164,15447,14663,13840,13020,12238,11494,10785,10137,9583,9144,8831,8632,8518
"Population, total",SP.POP.TOTL,Central African Republic,CAF,..,4900274,4804316,4710678,4619500,4530903,4444973,4361492,4280405,4202104,4127112,4055608,3987896,3923294,3859784,3794677,3726048,3653310,3577028,3497910,3417163,3335840,3253698,3170848,3089141,3010950,2937832,2871005,2809720,2751163,2691312,2627424,2558432,2485666,2411693,2340259,2274095,2213888,2158844,2108417,2061552,2017379,1975968,1937383,1900702,1864757,1828710,1792150,1755260,1718558
"Population, total",SP.POP.TOTL,Chad,TCD,..,14037472,13587053,13145788,12715465,12298512,11896380,11510535,11139740,10779504,10423616,10067932,9710498,9353516,9002102,8663599,8343321,8042713,7760157,7494143,7242018,7001634,6773104,6556628,6350174,6151213,5958022,5769273,5585528,5409275,5244158,5092650,4955088,4830055,4716073,4610964,4512795,4421448,4336389,4254770,4173070,4088858,4000511,3908729,3816299,3727382,3644911,3569778,3500778,3436227
"Population, total",SP.POP.TOTL,Channel Islands,CHI,..,163692,162917,162138,161336,160489,159583,158613,157587,156516,155415,154298,153170,152034,150905,149797,148725,147682,146669,145709,144832,144050,143388,142822,142258,141568,140669,139528,138186,136716,135227,133804,132451,131158,129983,128988,128213,127694,127394,127190,126906,126417,125680,124728,123611,122413,121196,119971,118726,117475
"Population, total",SP.POP.TOTL,Chile,CHL,..,17948141,17762647,17575833,17388437,17201305,17015048,16829957,16645940,16462701,16279728,16096571,15913119,15729268,15544554,15358418,15170387,14980484,14788609,14594070,14396020,14193986,13987999,13778676,13566942,13354054,13141202,12928491,12716508,12507488,12304203,12108576,11921407,11742057,11569135,11400489,11234340,11070198,10907901,10746328,10584237,10420590,10255074,10087377,9916558,9741579,9561868,9377005,9187592,8995410
"Population, total",SP.POP.TOTL,China,CHN,..,1371220000,1364270000,1357380000,1350695000,1344130000,1337705000,1331260000,1324655000,1317885000,1311020000,1303720000,1296075000,1288400000,1280400000,1271850000,1262645000,1252735000,1241935000,1230075000,1217550000,1204855000,1191835000,1178440000,1164970000,1150780000,1135185000,1118650000,1101630000,1084035000,1066790000,1051040000,1036825000,1023310000,1008630000,993885000,981235000,969005000,956165000,943455000,930685000,916395000,900350000,881940000,862030000,841105000,818315000,796025000,774510000,754550000
"Population, total",SP.POP.TOTL,Colombia,COL,..,48228704,47791393,47342363,46881018,46406446,45918101,45416276,44901660,44374647,43835744,43285636,42724157,42152147,41572493,40988909,40403959,39819279,39234059,38645409,38049040,37441980,36823539,36195170,35558683,34916770,34271563,33624442,32975533,32324326,31669780,31011686,30350082,29687096,29027158,28375995,27737905,27113510,26502172,25905124,25323412,24756969,24208022,23674505,23146803,22611988,22061214,21490948,20905061,20311369
"Population, total",SP.POP.TOTL,Comoros,COM,..,788474,769991,751697,733661,715972,698695,681845,665414,649404,633814,618632,603869,589500,575428,561525,547696,533909,520180,506525,492979,479574,466309,453188,440252,427556,415144,403003,391133,379589,368443,357729,347548,337853,328355,318659,308518,297765,286583,275496,265234,256309,248921,242875,237797,233125,228443,223629,218794,214038
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",ZAR,..,77266814,74877030,72552861,70291160,68087376,65938712,63845097,61809278,59834875,57926840,56089536,54314855,52602208,50971407,49449015,48048664,46788238,45647949,44558347,43424997,42183620,40804011,39314955,37783835,36309209,34962676,33763056,32688708,31721541,30829103,29985665,29190679,28448122,27741104,27049145,26357407,25656486,24948113,24242643,23556784,22902275,22282079,21690604,21120996,20563111,20009902,19458874,18913177,18378189
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,..,4620330,4504962,4394334,4286188,4177435,4066078,3950786,3832771,3715665,3604595,3503086,3412592,3331564,3256867,3183883,3109269,3031969,2953011,2873638,2795903,2721277,2649964,2581306,2514907,2450125,2386467,2323890,2262496,2202106,2142529,2083648,2025320,1967596,1910800,1855391,1801688,1749859,1699781,1651134,1603446,1556406,1509880,1464052,1419305,1376189,1335090,1296137,1259190,1224041
"Population, total",SP.POP.TOTL,Costa Rica,CRI,..,4807850,4757606,4706433,4654148,4600487,4545273,4488261,4429506,4369465,4308790,4247843,4187039,4125970,4063208,3996800,3925450,3848725,3767369,3682725,3596733,3510925,3425692,3341005,3257463,3175654,3095994,3018953,2944560,2872214,2800986,2730231,2659772,2589932,2521163,2454127,2389309,2326708,2266153,2207727,2151492,2097410,2045580,1995744,1947048,1898366,1848873,1798315,1746870,1694711
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,..,22701556,22157107,21622490,21102641,20604172,20131707,19684909,19261647,18862172,18486392,18132702,17802516,17491539,17185421,16865376,16517948,16137824,15728482,15296390,14852193,14404340,13953779,13499696,13046907,12600967,12165909,11744698,11337122,10939987,10548148,10158033,9769105,9383289,9002400,8629121,8265549,7912390,7569558,7237451,6916302,6606395,6307936,6021405,5747633,5487594,5241914,5010962,4794399,4591238
"Population, total",SP.POP.TOTL,Croatia,HRV,..,4224404,4238389,4255689,4267558,4280622,4417781,4429078,4434508,4436000,4440000,4442000,4439000,4440000,4440000,4440000,4426000,4554000,4501000,4572000,4494000,4669000,4650000,4640000,4470000,4510000,4780000,4767000,4757000,4740000,4722000,4701000,4680000,4659000,4635000,4608000,4588000,4571000,4556000,4532000,4530000,4514000,4497000,4478000,4457000,4435000,4411000,4387000,4364000,4339000
"Population, total",SP.POP.TOTL,Cuba,CUB,..,11389562,11379111,11362505,11342631,11323570,11308133,11297442,11290239,11284043,11275199,11261052,11240680,11214837,11184540,11151472,11116787,11080506,11041893,11000431,10955372,10906048,10853435,10797556,10735775,10664577,10582082,10486110,10379080,10269276,10167998,10082990,10017061,9966733,9925618,9884219,9835177,9777287,9711393,9634677,9544268,9438445,9315371,9176051,9025299,8869961,8715123,8563191,8413329,8263547
"Population, total",SP.POP.TOTL,Curacao,CUW,..,158040,155909,153822,152088,150831,148703,146833,145880,144056,141239,137658,134192,131897,129205,129047,133860,139428,144472,146956,146306,145139,144630,144299,143912,144403,145400,146937,149254,151456,152662,152711,151940,151159,150101,148629,148041,147851,148341,149459,149399,149129,148351,146912,147710,147389,144739,142581,140298,138140
"Population, total",SP.POP.TOTL,Cyprus,CYP,..,1165300,1153658,1141652,1129303,1116644,1103685,1090486,1077010,1063040,1048293,1032586,1015827,998150,979883,961482,943287,925491,908040,890733,873246,855389,837166,818814,800660,783138,766611,751047,736477,723380,712340,703693,697717,694074,691711,689173,685406,680013,673252,665528,657526,649755,642335,635109,628000,620860,613619,606117,598491,591304
"Population, total",SP.POP.TOTL,Czech Republic,CZE,..,10551219,10525347,10514272,10510785,10496088,10474410,10443936,10384603,10298828,10238905,10211216,10197101,10193998,10196916,10216605,10255063,10283860,10294373,10304131,10315241,10327253,10333587,10329855,10319123,10308578,10333355,10361068,10355276,10347318,10342227,10337118,10330213,10323856,10314826,10300591,10304193,10292341,10242098,10186755,10125939,10058620,9988459,9922266,9867632,9826815,9858071,9896580,9876346,9852899
