Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974],1973 [YR1973],1972 [YR1972],1971 [YR1971],1970 [YR1970],1969 [YR1969],1968 [YR1968],1967 [YR1967]
"Population, total",SP.POP.TOTL,Denmark,DNK,..,5676002,5643475,5614932,5591572,5570572,5547683,5523095,5493621,5461438,5437272,5419432,5404523,5390574,5375931,5358783,5339616,5321799,5304219,5284991,5263074,5233373,5206180,5188628,5171370,5154298,5140939,5132594,5129516,5127024,5120534,5113691,5111619,5114297,5117810,5121572,5123027,5116801,5104248,5088419,5072596,5059862,5045297,5021861,4991596,4963126,4928757,4891860,4864883,4835354
"Population, total",SP.POP.TOTL,Djibouti,DJI,..,887861,876174,864554,853069,841802,830802,820097,809639,799309,788941,778406,767644,756656,745459,734088,722562,710652,698256,685644,673202,661076,649878,639215,627063,610679,588356,558810,523266,485565,451068,423470,404589,392908,384743,374683,358960,336254,308213,277622,248619,224182,205157,190536,179212,169370,159667,149891,140461,131403
"Population, total",SP.POP.TOTL,Dominica,DMA,..,72680,72341,72005,71685,71402,71167,70995,70881,70795,70690,70542,70325,70058,69806,69660,69679,69902,70295,70756,71146,71367,71372,71205,70978,70849,70928,71242,71743,72368,73025,73640,74215,74750,75168,75376,75313,74923,74239,73411,72648,72091,71811,71745,71737,71566,71076,70212,69042,67682
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,..,10528391,10405943,10281408,10155036,10027140,9897983,9767737,9636491,9504336,9371333,9237565,9102997,8967759,8832286,8697127,8562623,8429116,8296375,8163474,8029114,7892420,7753052,7611463,7468551,7325622,7183646,7042940,6903314,6764623,6626544,6488857,6351572,6214857,6078816,5943591,5809271,5675930,5543520,5411867,5280727,5149934,5019471,4889437,4759935,4631114,4503114,4376056,4250026,4125107
"Population, total",SP.POP.TOTL,Ecuador,ECU,..,16144363,15902916,15661312,15419493,15177280,14934692,14691310,14447600,14205479,13967490,13735232,13509645,13289600,13072056,12852753,12628596,12398691,12163887,11924991,11683480,11440576,11196476,10951200,10705670,10460988,10218085,9977380,9739179,9504132,9272905,9045977,8823746,8606214,8392935,8183194,7976449,7772652,7571953,7374235,7179399,6987393,6798205,6611916,6428707,6248831,6072520,5899842,5730908,5566057
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,..,91508084,89579670,87613909,85660902,83787634,82040994,80442443,78976122,77605327,76274285,74942115,73596068,72247626,70908710,69599945,68334905,67112877,65922626,64754566,63595629,62434527,61272847,60108373,58922018,57689828,56397273,55035937,53617678,52173840,50748187,49373806,48061546,46807221,45610430,44465918,43369552,42321740,41324806,40377668,39478585,38624410,37815578,37046807,36302154,35561087,34808599,34038147,33252275,32456565
"Population, total",SP.POP.TOTL,El Salvador,SLV,..,6126583,6107706,6089644,6072233,6055208,6038306,6021368,6004199,5986414,5967556,5947206,5925089,5900929,5874301,5844738,5811836,5775660,5736075,5692300,5643363,5588743,5528012,5461834,5392142,5321576,5252082,5184221,5117577,5051885,4986528,4920932,4855280,4789472,4722272,4652058,4577683,4498757,4415625,4328817,4239205,4147525,4053958,3958616,3862132,3765252,3668592,3572667,3477702,3383674
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,..,845060,820885,797082,773729,750918,728710,707155,686223,665798,645718,625866,606201,586772,567664,549007,530896,513347,496330,479836,463844,448332,433197,418409,404081,390381,377363,365451,354488,343290,330247,314407,295090,273199,251301,232934,220605,215014,215284,220352,228491,238240,249587,262399,274906,284915,290905,292014,288701,282445
"Population, total",SP.POP.TOTL,Eritrea,ERI,..,..,..,..,..,4789568,4689664,4593549,4500638,4406299,4304440,4191273,4064958,3928408,3788532,3655006,3535156,3429656,3337227,3260612,3202598,3164095,3147871,3150811,3160617,3160644,3139083,3091083,3020278,2933871,2843141,2756493,2675717,2598626,2525005,2453689,2383858,2316054,2251129,2188806,2128597,2070145,2013382,1958444,1905406,1854395,1805480,1758668,1713846,1670821
"Population, total",SP.POP.TOTL,Estonia,EST,..,1311998,1314545,1317997,1322696,1327439,1331475,1334515,1337090,1340680,1346810,1354775,1362550,1370720,1379350,1388115,1396985,1380620,1386156,1399535,1415594,1436634,1462514,1494128,1533091,1561314,1569174,1568131,1561900,1552221,1540190,1528781,1518617,1508745,1498414,1487666,1477219,1468333,1460188,1450211,1439576,1429352,1418169,1405951,1392518,1376955,1360076,1345249,1331214,1318946
"Population, total",SP.POP.TOTL,Ethiopia,ETH,..,99390750,96958732,94558374,92191211,89858696,87561814,85302099,83079608,80891968,78735675,76608431,74506974,72432290,70391170,68393128,66443603,64550161,62707547,60893264,59076414,57237226,55366517,53477944,51602776,49784987,48057094,46433604,44908705,43470219,42097111,40775997,39493503,38259376,37109517,36093319,35239974,34569428,34053431,33614153,33144537,32568539,31855294,31028728,30135007,29246170,28414999,27653622,26945459,26280771
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,..,48199,48221,48292,48393,48492,48567,48613,48629,48599,48505,48337,48103,47812,47452,47012,46491,45852,45126,44467,44081,44099,44600,45501,46574,47494,48031,48105,47789,47194,46501,45840,45239,44661,44105,43559,43010,42468,41946,41447,40974,40529,40116,39731,39360,38983,38587,38164,37718,37258
"Population, total",SP.POP.TOTL,Fiji,FJI,..,892145,886450,880487,874158,867327,859952,851854,843206,834729,827390,821820,818355,816626,815691,814215,811223,806494,800314,792859,784479,775498,765666,755024,744534,735469,728626,724624,722918,721725,718548,711663,700366,685389,668196,650957,635256,621541,609348,598258,587523,576592,565386,554109,542811,531601,520529,509659,498887,487911
"Population, total",SP.POP.TOTL,Finland,FIN,..,5482013,5461512,5438972,5413971,5388272,5363352,5338871,5313399,5288720,5266268,5246096,5228172,5213014,5200598,5188008,5176209,5165474,5153498,5139835,5124573,5107790,5088333,5066447,5041992,5013740,4986431,4964371,4946481,4932123,4918154,4902206,4881803,4855787,4826933,4799964,4779535,4764690,4752528,4738902,4725664,4711440,4690574,4666081,4639657,4612124,4606307,4623785,4626469,4605744
"Population, total",SP.POP.TOTL,France,FRA,..,66808385,66495940,65972097,65659790,65342776,65027512,64707044,64374990,64016229,63621376,63179356,62704897,62244884,61805267,61357431,60912498,60496715,60186291,59964845,59753098,59541900,59327194,59106766,58851216,58559312,58512808,58182702,57836486,57482591,57132691,56795686,56470769,56156284,55858727,55585824,55340782,55130594,54947975,54764462,54541493,54252574,53882416,53441264,52959228,52480421,52035095,51638260,51276054,50915456
"Population, total",SP.POP.TOTL,French Polynesia,PYF,..,282764,279781,276766,273775,270862,268065,265412,262877,260361,257731,254884,251811,248536,245032,241276,237267,232956,228380,223734,219282,215200,211584,208349,205269,202020,198370,194249,189742,184958,180069,175208,170397,165611,160883,156240,151702,147299,143033,138867,134743,130619,126483,122355,118279,114311,110496,106858,103385,100031
"Population, total",SP.POP.TOTL,Gabon,GAB,..,1725292,1687673,1650351,1613489,1577298,1541936,1507428,1473741,1440902,1408920,1377777,1347524,1318093,1289192,1260435,1231548,1202412,1173114,1143838,1114879,1086449,1058625,1031358,1004598,978252,952269,926648,901473,876877,853039,830091,808088,787017,766867,747593,729165,711544,694734,678786,663774,649719,636702,624625,613129,601734,590119,578114,565878,553829
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,..,1990924,1928201,1866878,1807108,1749099,1693002,1638899,1586749,1536424,1487731,1440542,1394727,1350345,1307674,1267103,1228863,1192920,1159001,1126786,1095839,1065746,1036627,1008296,979701,949490,916811,881146,843060,804134,766598,732092,701097,673230,648202,625413,604371,585155,567828,551823,536409,521070,505512,489860,474538,460193,447283,435800,425509,416342
"Population, total",SP.POP.TOTL,Georgia,GEO,..,3679000,3727000,3776000,3825000,3875000,3926000,3978000,4030000,4082000,4136000,4190000,4245000,4301000,4357000,4386400,4418300,4452500,4487300,4531600,4616100,4734000,4861600,4911100,4873500,4835900,4802000,4803300,4790700,4743500,4704500,4662900,4622200,4582900,4542800,4504500,4467700,4430200,4397700,4372100,4342400,4311200,4279500,4242500,4205300,4009400,3967800,4080300,4042300,4005800
"Population, total",SP.POP.TOTL,Germany,DEU,..,81413145,80982500,82132753,80425823,81797673,81776930,81902307,82110097,82266372,82376451,82469422,82516260,82534176,82488495,82349925,82211508,82100243,82047195,82034771,81914831,81678051,81438348,81156363,80624598,80013896,79433029,78751283,78144619,77839920,77720436,77684873,77858685,78128282,78333366,78407907,78288576,78126350,78091820,78159814,78336950,78673554,78967433,78936666,78688452,78312842,78169289,77909682,77294314,76951336
"Population, total",SP.POP.TOTL,Ghana,GHA,..,27409893,26786598,26164432,25544565,24928503,24317734,23713164,23115919,22528041,21951891,21389514,20840493,20305396,19788181,19293804,18824994,18384426,17969006,17568583,17169214,16760991,16339344,15907244,15471527,15042736,14628260,14232493,13852597,13480381,13103975,12716238,12311166,11895130,11488112,11117608,10802025,10550770,10354490,10189889,10023471,9831409,9604280,9350111,9083575,8827273,8596977,8397346,8221021,8057442
"Population, total",SP.POP.TOTL,Gibraltar,GIB,..,32217,31997,31720,31402,31067,30732,30407,30089,29770,29437,29080,28694,28290,27903,27580,27351,27233,27211,27246,27284,27285,27235,27146,27035,26924,26833,26760,26700,26653,26623,26611,26621,26650,26671,26651,26568,26409,26185,25922,25666,25443,25266,25121,24991,24844,24661,24438,24185,23901
"Population, total",SP.POP.TOTL,Greece,GRC,..,10823732,10892413,10965211,11045011,11104899,11121341,11107017,11077841,11048473,11020362,10987314,10955141,10928070,10902022,10862132,10805808,10761698,10720509,10661259,10608800,10562153,10512922,10460415,10399061,10319927,10196792,10089498,10036983,10000595,9967213,9934300,9895801,9846627,9789513,9729350,9642505,9548258,9429959,9308479,9188150,9046541,8962022,8929086,8888628,8831036,8792806,8772764,8740765,8684088
"Population, total",SP.POP.TOTL,Greenland,GRL,..,56114,56295,56483,56810,56890,56905,56323,56328,56555,56774,56935,56911,56765,56609,56350,56200,56100,56100,56000,55900,55800,55500,55200,55300,55500,55600,55300,54800,54100,53500,53200,52700,52100,51500,51000,50200,49600,49200,49400,49700,49600,49500,49000,48300,47200,46400,44900,43400,41900
"Population, total",SP.POP.TOTL,Grenada,GRD,..,106825,106349,105902,105476,105070,104677,104298,103934,103587,103259,102951,102657,102371,102100,101849,101620,101441,101302,101125,100796,100253,99403,98302,97201,96455,96286,96871,98063,99381,100146,99907,98440,95981,93091,90575,89004,88571,89070,90187,91435,92453,93151,93629,93937,94180,94430,94682,94875,94962
"Population, total",SP.POP.TOTL,Guam,GUM,..,169885,167543,165121,162807,160858,159440,158621,158310,158332,158429,158401,158194,157823,157241,156417,155328,153951,152275,150306,148060,145562,142806,139820,136696,133553,130482,127525,124677,121924,119232,116576,113961,111405,108911,106486,104131,101846,99628,97476,95386,93354,91381,89463,87585,85728,83880,82042,80219,78409
"Population, total",SP.POP.TOTL,Guatemala,GTM,..,16342897,16015494,15690793,15368759,15049280,14732261,14418033,14106687,13797629,13490041,13183505,12877711,12573346,12272208,11976725,11688660,11408815,11136814,10871786,10612300,10357354,10106463,9860063,9619113,9385000,9158547,8940285,8729406,8523785,8320498,8117499,7913814,7710142,7508161,7310397,7118628,6933492,6754258,6579710,6408029,6237963,6069077,5901980,5737720,5577824,5423384,5274726,5131461,4993104
"Population, total",SP.POP.TOTL,Guinea,GIN,..,12608590,12275527,11948726,11628767,11316351,11012406,10715770,10427356,10152521,9898301,9669023,9464771,9281572,9114287,8955756,8799165,8647336,8497582,8331366,8124799,7863033,7536389,7155564,6751394,6367110,6034082,5763843,5548270,5375058,5223553,5078689,4937230,4804740,4684992,4584305,4506559,4451872,4416074,4393551,4376768,4359735,4340748,4319502,4293208,4259102,4215442,4160375,4094528,4021880
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,..,1844325,1800513,1757138,1714620,1673509,1634196,1596832,1561293,1527342,1494603,1462784,1431816,1401716,1372367,1343646,1315455,1287727,1260424,1233520,1207006,1180877,1155111,1129706,1104708,1080191,1056208,1032797,1009967,987718,966039,944941,924378,904391,885166,866947,849886,834068,819371,805481,791959,778482,764974,751512,738117,724863,711828,698917,686155,673893
"Population, total",SP.POP.TOTL,Guyana,GUY,..,767085,763893,761033,758410,755883,753362,750749,748096,745638,743705,742495,742162,742537,743107,743163,742218,740189,737316,733854,730193,726695,723230,719910,717621,717502,720282,726237,734872,745149,755598,765043,773302,780367,785466,787728,786614,781677,773227,762445,751008,740167,730227,720919,712188,703811,695561,687658,680068,671986
"Population, total",SP.POP.TOTL,Haiti,HTI,..,10711067,10572029,10431249,10288828,10144890,9999617,9852953,9705130,9556958,9409479,9263409,9119182,8976555,8834739,8692564,8549202,8404396,8258484,8111954,7965548,7819806,7674911,7530703,7386974,7243391,7099733,6956301,6813344,6670566,6527545,6384196,6240330,6096690,5955265,5818673,5688832,5566265,5450550,5341418,5238242,5140357,5047948,4960655,4876558,4793157,4708639,4622209,4534233,4445531
"Population, total",SP.POP.TOTL,Honduras,HND,..,8075060,7961680,7849059,7736131,7621414,7503875,7383098,7259470,7133737,7007029,6880181,6753352,6626304,6499001,6371304,6243080,6114534,5985675,5855946,5724587,5591136,5455481,5318042,5179557,5041050,4903363,4766802,4631491,4497875,4366401,4237436,4111369,3988371,3868296,3750843,3635862,3523283,3413426,3306988,3204883,3107735,3015606,2928190,2845260,2766444,2691309,2620014,2552200,2486288
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,..,7305700,7241700,7187500,7154600,7071600,7024200,6972800,6957800,6916300,6857100,6813200,6783500,6730800,6744100,6714300,6665000,6606500,6543700,6489300,6435500,6156100,6035400,5901000,5800500,5752000,5704500,5686200,5627600,5590500,5524600,5456200,5397900,5345100,5264500,5183400,5063100,4929700,4667500,4583700,4518000,4461600,4334200,4241600,4123600,4045300,3959000,3863900,3802700,3722800
"Population, total",SP.POP.TOTL,Hungary,HUN,..,9844686,9866468,9893082,9920362,9971727,10000023,10022650,10038188,10055780,10071370,10087065,10107146,10129552,10158608,10187576,10210971,10237530,10266570,10290486,10311238,10328965,10343355,10357523,10369341,10373400,10373988,10481719,10596487,10612741,10630564,10648713,10668095,10689463,10705535,10711848,10711122,10704152,10684822,10648031,10598677,10540525,10478720,10432055,10398489,10367537,10337910,10298723,10255815,10216604
"Population, total",SP.POP.TOTL,Iceland,ISL,..,330823,327386,323764,320716,319014,318041,318499,317414,311566,303782,296734,292074,289521,287523,284968,281205,277381,274047,271128,268916,267468,266021,263725,261057,257797,254826,252852,249740,245859,243180,241405,239511,236977,233860,230755,228138,225735,223537,221799,220154,217979,215209,212317,209137,206098,204438,203369,201488,198751
"Population, total",SP.POP.TOTL,India,IND,..,1311050527,1295291543,1279498874,1263589639,1247446011,1230984504,1214182182,1197070109,1179685631,1162088305,1144326293,1126419321,1108369577,1090189358,1071888190,1053481072,1034976626,1016402907,997817250,979290432,960874982,942604211,924475633,906461358,888513869,870601776,852736160,834944397,817232241,799607235,782085127,764664278,747374856,730303461,713561406,697229745,681358553,665936435,650907559,636182810,621703641,607446519,593451889,579800632,566605402,553943226,541844848,530274729,519162069
"Population, total",SP.POP.TOTL,Indonesia,IDN,..,257563815,254454778,251268276,248037853,244808254,241613126,238465165,235360765,232296830,229263980,226254703,223268606,220307809,217369087,214448301,211540428,208644079,205753493,202853850,199926615,196957845,193939912,190873248,187762097,184614740,181436821,178233231,175000919,171728916,168402027,165012195,161555584,158044343,154506266,150978841,147490366,144053516,140665859,137322122,134010695,130724118,127465232,124242299,121059511,117921994,114834781,111800090,108821565,105907403
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,..,79109272,78143644,77152445,76156975,75184322,74253373,73370982,72530693,71720859,70923164,70122115,69321953,68522074,67696677,66812736,65850062,64780362,63616065,62426086,61306632,60318632,59501292,58811858,58130099,57288039,56169196,54735239,53035939,51152122,49205577,47290793,45429019,43610506,41862373,40209077,38668222,37256771,35977589,34814231,33739231,32730555,31784896,30903565,30073845,29281130,28514011,27765239,27032944,26318116
"Population, total",SP.POP.TOTL,Iraq,IRQ,..,36423395,35273293,34107366,32957622,31867758,30868156,29970634,29163327,28423538,27716983,27017712,26320530,25630426,24943793,24258794,23574751,22888600,22200835,21519356,20855408,20217759,19606895,19021967,18468521,17952909,17478455,17048167,16657708,16293719,15937864,15576396,15204746,14824876,14437661,14046273,13653358,13257910,12859226,12460997,12068195,11684585,11312304,10951169,10599846,10255904,9917982,9585576,9260685,8947399
"Population, total",SP.POP.TOTL,Ireland,IRL,..,4640703,4617225,4598294,4586897,4576794,4560155,4535375,4489544,4398942,4273591,4159914,4070262,3996521,3931947,3866243,3805174,3754786,3712696,3674171,3637510,3608841,3590386,3576261,3558430,3534235,3513974,3511009,3524949,3540057,3539690,3538082,3532423,3510600,3485800,3453000,3412800,3373750,3329100,3282200,3238050,3189550,3137500,3085950,3036850,2992050,2957250,2932650,2915550,2902450
"Population, total",SP.POP.TOTL,Isle of Man,IMY,..,87780,87127,86462,85779,85069,84327,83548,82737,81914,81110,80345,79636,78975,78318,77608,76806,75879,74853,73817,72899,72181,71726,71486,71306,70963,70312,69265,67902,66449,65225,64446,64207,64404,64817,65128,65108,64680,63918,62934,61900,60941,60098,59326,58563,57711,56712,55554,54289,52995
"Population, total",SP.POP.TOTL,Israel,ISR,..,8380400,8215700,8059500,7910500,7765800,7623600,7485600,7308800,7180100,7053700,6930100,6809000,6689700,6570000,6439000,6289000,6125000,5971000,5836000,5692000,5545000,5399000,5261000,5123000,4949000,4660000,4518000,4442000,4369000,4299000,4233000,4159000,4105000,4031000,3956000,3878000,3786000,3690000,3613000,3533000,3455000,3377000,3278000,3148000,3069000,2974000,2877000,2803000,2745000
"Population, total",SP.POP.TOTL,Italy,ITA,..,60802085,60789140,60233948,59539717,59379449,59277417,59095365,58826731,58438310,58143979,57969484,57685327,57313203,57059007,56974100,56942108,56916317,56906744,56890372,56860281,56844303,56843400,56831821,56797087,56758521,56719240,56671781,56629288,56601931,56596155,56593071,56576718,56564074,56543548,56501675,56433883,56317749,56155143,55955411,55718260,55441001,55110868,54751406,54381345,54073490,53821850,53537950,53235750,52900500
"Population, total",SP.POP.TOTL,Jamaica,JAM,..,2725941,2720554,2714669,2707805,2699838,2690824,2681386,2671934,2662481,2653042,2643601,2634145,2624695,2615253,2605556,2589389,2574289,2556780,2534069,2509923,2480000,2460002,2441024,2423044,2406042,2390000,2374900,2356400,2350600,2335800,2311100,2279900,2240800,2200100,2162300,2133000,2104141,2080307,2059399,2037716,2013000,1985852,1956080,1925162,1895629,1869000,1844936,1823706,1803891
"Population, total",SP.POP.TOTL,Japan,JPN,..,126958472,127131800,127338621,127561489,127817277,128070000,128047000,128063000,128001000,127854000,127773000,127761000,127718000,127445000,127149000,126843000,126631000,126400000,126057000,125757000,125439000,124961000,124536000,124229000,123921000,123537000,123116000,122613000,122091000,121492000,120754000,120018000,119259000,118449000,117648000,116782000,115870000,114898000,113863000,112771000,111940000,110162000,108079000,107188000,105697000,104345000,103172000,101061000,100725000
"Population, total",SP.POP.TOTL,Jordan,JOR,..,7594547,7416083,7214832,6994451,6760371,6517912,6266865,6010035,5759424,5530218,5332982,5171633,5042538,4938935,4850227,4767476,4691402,4621329,4545248,4448113,4320158,4154813,3957221,3743944,3538663,3358453,3209466,3086664,2982349,2884065,2782885,2676515,2568582,2462968,2365665,2280670,2208562,2146662,2091716,2039114,1985121,1929939,1873548,1811870,1739903,1654769,1553585,1438986,1320414
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,..,17544126,17289224,17035275,16791425,16556600,16321581,16092701,15674000,15484192,15308084,15147029,15012985,14909018,14858948,14858335,14883626,14928426,15071300,15333703,15577894,15815626,16095199,16330419,16439095,16450500,16348000,16249500,15982510,15801753,15600928,15403006,15214051,15030495,14853993,14683789,14518924,14362417,14215111,14070681,13920105,13756789,13577049,13382211,13176584,12966920,12757245,12550121,12341412,12120504
"Population, total",SP.POP.TOTL,Kenya,KEN,..,46050302,44863583,43692881,42542978,41419954,40328313,39269988,38244442,37250540,36286015,35349040,34437460,33551079,32691980,31863280,31065820,30301240,29564614,28842245,28116027,27373035,26608089,25824736,25029754,24234087,23446229,22668238,21899004,21140344,20393724,19660713,18942599,18241331,17559778,16901181,16267906,15661414,15081598,14527187,13995974,13486241,12997447,12529810,12083165,11657479,11252466,10867717,10502250,10154489
"Population, total",SP.POP.TOTL,Kiribati,KIR,..,112423,110470,108544,106620,104662,102648,100566,98437,96310,94257,92329,90545,88892,87343,85858,84406,82969,81556,80190,78907,77727,76674,75722,74773,73698,72411,70863,69104,67262,65519,64006,62768,61760,60918,60137,59340,58509,57664,56815,55980,55169,54382,53605,52823,52020,51181,50303,49389,48440
"Population, total",SP.POP.TOTL,"Korea, Dem. People’s Rep.",PRK,..,25155317,25026772,24895705,24763353,24631359,24500506,24371806,24243829,24111945,23969897,23813324,23639296,23449173,23248053,23043441,22840218,22641747,22444986,22240826,22016510,21763670,21478544,21166230,20838082,20510208,20194354,19895390,19610512,19334550,19058988,18778101,18487997,18191881,17899236,17623335,17372167,17151321,16953621,16758826,16539029,16274740,15960127,15603001,15214615,14812363,14410400,14009168,13608611,13221826
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,..,50617045,50423955,50219669,50004441,49779440,49410366,49182038,48948698,48597652,48371946,48138077,48039415,47859311,47622179,47357362,47008111,46616677,46286503,45953580,45524681,45092991,44641540,44194628,43747962,43295704,42869283,42449038,42031247,41621690,41213674,40805744,40405956,39910403,39326352,38723248,38123775,37534236,36969185,36411795,35848523,35280725,34692266,34103149,33505406,32882704,32240827,31544266,30838302,30130983
"Population, total",SP.POP.TOTL,Kosovo,KSV,..,1797151,1812771,1818117,1805200,1790957,1775680,1761474,1747383,1733404,1719536,1705780,1704622,1703466,1702310,1701154,1700000,1762000,1966000,2086000,2059000,2029000,1997000,1965000,1932000,1898000,1862000,1827000,1791000,1753000,1717000,1682000,1647000,1614000,1582000,1552000,1521000,1491000,1460000,1430000,1400000,1369000,1339000,1308000,1278000,1247000,1219000,1191000,1163000,1135000
"Population, total",SP.POP.TOTL,Kuwait,KWT,..,3892115,3753121,3593689,3419581,3239181,3059473,2881243,2705290,2538591,2389498,2263604,2166344,2095993,2042215,1990022,1929470,1853152,1766247,1686256,1637906,1637031,..,..,..,2007110,2058832,2054443,2002645,1917950,1823201,1735320,1657920,1586205,1518855,1452383,1384342,1315428,1247597,1180939,1115463,1051187,988267,926817,866747,807900,750184,693876,639170,585831
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,..,5957000,5835500,5719600,5607200,5514600,5447900,5383300,5318700,5268400,5218400,5162600,5104700,5043300,4990700,4945100,4898400,4840400,4769000,4696400,4628400,4560400,4515100,4516700,4515400,4463600,4391200,4307500,4218400,4144600,4066500,3990300,3916400,3838300,3759300,3685800,3617400,3552000,3487100,3423900,3358700,3292400,3223900,3153800,3088200,3022300,2959900,2894800,2818300,2736500
